"","season","stage","date","home_team_goal","away_team_goal","country","league","home_team","away_team","B365H","B365D","B365A","home_shoton","away_shoton","home_shotoff","away_shotoff","home_foulcommit","away_foulcommit","home_card","away_card","home_cross","away_cross","home_corner","away_corner"
"1","2012/2013",26,"2013-05-12 00:00:00",4,4,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2012/2013",10,"2012-11-03 00:00:00",1,3,"Poland","Poland Ekstraklasa","Piast Gliwice","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013/2014",17,"2013-11-24 00:00:00",0,0,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2013/2014",19,"2013-12-04 00:00:00",2,0,"Poland","Poland Ekstraklasa","Legia Warszawa","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2014/2015",1,"2014-07-20 00:00:00",2,0,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2009/2010",25,"2010-04-25 00:00:00",1,1,"Poland","Poland Ekstraklasa","Lechia Gdansk","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015/2016",28,"2016-03-19 00:00:00",0,0,"Poland","Poland Ekstraklasa","Slask Wroclaw","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009/2010",6,"2009-09-12 00:00:00",2,1,"Poland","Poland Ekstraklasa","GKS Belchatów","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014/2015",21,"2015-02-22 00:00:00",2,1,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2013/2014",16,"2013-11-09 00:00:00",4,2,"Poland","Poland Ekstraklasa","Lech Poznan","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2012/2013",30,"2013-06-02 00:00:00",1,0,"Poland","Poland Ekstraklasa","Jagiellonia Bialystok","Ruch Chorzów",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
